Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthWidth,MouthHeight,Timestamp
Surprised,15.000000,16.124515,19.924859,18.788294,57.140179,52.345009,73.000000,90.000000,25.513000ms,
Surprised,16.031220,16.124515,19.646883,19.235384,57.140179,52.239832,74.027022,90.000000,25.623000ms,
Surprised,15.132746,16.031220,19.416488,19.235384,57.688820,53.338541,74.027022,90.000000,25.720000ms,
Surprised,16.031220,14.035669,19.416488,19.235384,57.140179,53.460266,72.027772,90.000000,25.821000ms,
Surprised,15.033296,15.000000,20.396078,19.235384,57.982756,52.345009,66.068147,92.005435,25.923000ms,
Scared,13.000000,12.041595,20.396078,17.088007,55.217751,49.365980,48.093659,114.039467,26.033000ms,
Happy,9.055385,10.049876,21.587033,20.248457,54.405882,49.497475,43.011626,123.036580,26.123000ms,
Happy,10.049876,9.000000,21.587033,19.924859,55.217751,50.487622,44.102154,126.015872,26.223000ms,
Happy,9.055385,8.062258,21.840330,18.973666,55.217751,51.623638,44.102154,126.015872,26.327000ms,
Happy,9.000000,9.000000,21.840330,19.313208,55.803226,52.345009,44.011362,125.015999,26.434000ms,
Happy,9.000000,8.246211,23.086793,19.313208,56.612719,52.239832,44.011362,127.015747,26.538000ms,
Happy,7.071068,8.000000,22.803509,19.313208,56.035703,52.469038,46.097722,127.062977,26.648000ms,
Happy,8.062258,8.000000,22.561028,19.313208,56.859476,52.469038,45.099889,127.015747,26.751000ms,
Happy,9.055385,8.000000,22.561028,20.248457,56.612719,52.469038,44.011362,125.015999,26.846000ms,
Happy,9.219544,7.000000,20.615528,19.697716,55.470713,53.338541,44.011362,125.004000,26.954000ms,
Happy,9.055385,8.062258,21.377558,19.697716,56.302753,53.338541,46.010868,125.015999,27.056000ms,
Happy,7.000000,8.062258,22.472205,20.615528,56.035703,54.230987,45.099889,124.036285,27.164000ms,
